iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
135,21854.59,682,0.28571,11.02,107.54,162.43,244.57,352.25,450.44,1389.31,265513.52,625,6.25,0.00,3.18,4.79,6.53,8.16,9.29,9.99
136,22066.43,672,0.28674,11.02,107.74,163.28,242.99,352.73,450.52,1389.31,265759.05,627,6.26,0.00,3.19,4.80,6.53,8.17,9.29,9.99
137,23649.59,743,0.28923,11.02,106.50,162.52,239.25,345.98,451.59,1389.31,264925.15,625,6.26,0.00,3.17,4.82,6.55,8.17,9.27,9.99
138,23706.71,762,0.28959,11.02,105.43,163.12,246.07,345.97,448.11,1389.31,264639.43,626,6.25,0.00,3.14,4.84,6.56,8.17,9.27,9.99
139,22941.46,724,0.28658,11.02,104.92,164.85,244.18,344.72,441.24,1389.31,264872.06,626,6.26,0.00,3.18,4.87,6.57,8.17,9.28,9.99
140,21853.84,668,0.28689,11.02,106.91,162.52,245.97,349.59,443.76,1389.31,265780.06,625,6.28,0.00,3.19,4.88,6.59,8.18,9.28,9.99
141,24916.97,796,0.28632,11.02,103.51,165.82,249.61,351.64,443.84,1389.31,266135.94,625,6.29,0.02,3.23,4.91,6.60,8.19,9.28,9.99
142,22074.62,672,0.28610,11.02,106.91,164.26,249.61,350.80,450.68,1389.31,266933.80,628,6.31,0.00,3.24,4.91,6.62,8.20,9.28,9.99
143,22475.95,706,0.28822,11.02,106.91,165.39,244.97,351.64,447.52,1389.31,267647.60,627,6.31,0.00,3.21,4.93,6.62,8.21,9.27,9.99
144,24164.87,763,0.29147,11.02,104.53,161.88,245.67,349.28,452.53,1389.31,268154.44,628,6.33,0.04,3.24,4.96,6.64,8.21,9.27,9.99
145,22417.60,687,0.28591,11.02,107.54,164.92,249.16,347.03,451.73,1389.31,268885.38,629,6.34,0.00,3.25,4.99,6.66,8.21,9.27,9.99
146,24031.87,731,0.28811,11.02,106.50,165.39,250.90,351.34,451.54,1389.31,268802.73,628,6.34,0.00,3.26,5.00,6.66,8.22,9.28,9.99
147,21947.33,695,0.28932,11.02,107.54,163.28,249.61,354.49,460.11,1389.31,269576.96,627,6.35,0.00,3.29,5.02,6.68,8.23,9.28,9.99
148,22641.30,671,0.29017,11.02,109.16,166.66,243.25,349.77,461.09,1389.31,269706.71,625,6.34,0.00,3.27,5.04,6.68,8.21,9.29,9.99
149,20973.04,652,0.28794,11.02,107.02,166.68,248.19,353.34,459.33,1389.31,270264.14,625,6.36,0.00,3.30,5.06,6.69,8.23,9.29,9.99
150,23611.80,742,0.28988,11.02,109.51,164.26,247.81,355.64,456.92,1389.31,270666.21,625,6.36,0.00,3.31,5.07,6.68,8.24,9.26,9.99
151,21580.58,665,0.28887,11.02,109.66,165.28,247.13,354.37,453.28,1389.31,271396.12,627,6.38,0.02,3.34,5.09,6.70,8.24,9.27,9.99
152,21205.42,667,0.28703,11.02,108.72,168.20,251.52,352.25,456.24,1389.31,272093.06,629,6.40,0.09,3.39,5.12,6.72,8.25,9.27,9.99
153,23576.12,726,0.29136,11.02,108.72,166.68,249.64,352.82,457.89,1389.31,272303.94,629,6.41,0.00,3.43,5.13,6.73,8.26,9.27,9.99
